Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PRK,Park National Corporation Common Stock,$156.33,-1.48,-0.938%,2824319218.00,United States,1994,93782,Finance,Major Banks
PTHS,Pelthos Therapeutics Inc. Common Stock,$23.85,-0.15,-0.625%,77167701.00,,2024,883,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PTN,Palatin Technologies Inc. Common Stock,$23.23,0.71,3.153%,41168183.00,United States,,11073,Health Care,Biotechnology: Pharmaceutical Preparations
PW,Power REIT (MD) Common Stock,$0.8971,-0.0018,-0.20%,3040865.00,United States,1998,7839,Real Estate,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$7.00,0.07,1.01%,,United States,,1788,,
PZG,Paramount Gold Nevada Corp. Common Stock,$1.96,-0.09,-4.39%,164273954.00,United States,2015,905380,Basic Materials,Metal Mining
QNC,Quantum eMotion Corp. Common Shares,$2.56,-0.40,-13.514%,551778995.00,,2026,1018475,,
RCG,RENN Fund Inc Common Stock,$3.195,0.019,0.598%,0.00,United States,,22636,Finance,Investment Managers
REED,Reed's Inc. Common Stock,$4.55,0.13,2.941%,0.00,,2025,77387,,
REI,Ring Energy Inc. Common Stock,$1.48,0.02,1.37%,309904763.00,United States,,4592636,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$33.79,0.12,0.356%,728763392.00,United States,1999,367700,Energy,Oil & Gas Production
RGNT,Regentis Biomaterials Ltd. Ordinary Shares,$3.3672,0.1871,5.883%,17440002.00,,2025,10330,Health Care,Biotechnology: Pharmaceutical Preparations
RLGT,Radiant Logistics Inc. Common Stock,$6.94,-0.02,-0.287%,324976215.00,United States,,114354,Industrials,Integrated Freight & Logistics
ROLR,High Roller Technologies Inc. Common Stock,$4.30,0.46,11.979%,46827421.00,,2024,160635,Consumer Discretionary,Services-Misc. Amusement & Recreation
RVP,Retractable Technologies Inc. Common Stock,$0.7014,0.001,0.143%,20997923.00,United States,2001,87305,Health Care,Medical/Dental Instruments
RYDE,Ryde Group Ltd. Class A Ordinary Shares,$0.703,0.0218,3.20%,62080402.00,,2024,173020,Real Estate,Real Estate
SACH,Sachem Capital Corp. Common Shares,$0.98,-0.0001,-0.01%,47007829.00,United States,2017,145883,Real Estate,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$16.60,-0.325,-1.92%,,United States,,11654,,
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$0.4011,-0.0489,-10.867%,1165755.00,,2021,18321789,Consumer Staples,Beverages (Production/Distribution)
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$24.43,0.0599,0.246%,1156572096.00,United States,,802,Real Estate,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$23.40,-0.15,-0.637%,1107809539.00,United States,2022,11100,Real Estate,Real Estate Investment Trusts
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,$23.35,0.07,0.301%,1105442425.00,United States,2022,4925,Real Estate,Real Estate Investment Trusts
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,$23.35,-0.06,-0.256%,1105442425.00,United States,2022,5744,Real Estate,Real Estate Investment Trusts
SEB,Seaboard Corporation Common Stock,$4941.54,-60.45,-1.209%,4732977363.00,United States,1996,19335,Industrials,Farming/Seeds/Milling
SER,Serina Therapeutics Inc. Common Stock,$1.34,-0.12,-8.219%,14452656.00,,2018,75794,Health Care,Biotechnology: Pharmaceutical Preparations
SIF,SIFCO Industries Inc. Common Stock,$14.16,-0.08,-0.562%,88006212.00,United States,1969,33789,Industrials,Aerospace
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$30.80,0.00,0.00%,4732983332.00,Mexico,1998,114,Industrials,Steel/Iron Ore
SLI,Standard Lithium Ltd. Common Shares,$4.12,0.07,1.728%,981701355.00,Canada,2021,1567284,Industrials,Major Chemicals
SLND,Southland Holdings Inc. Common Stock,$0.7224,0.0164,2.323%,39091257.00,United States,,202448,Industrials,Military/Government/Technical
SLSR,Solaris Resources Inc. Common Shares,$8.76,0.00,0.00%,1462017159.00,,2024,92784,,
SMJF,SMJ International Holdings Inc. Class A Ordinary Shares,$3.00,0.28,10.294%,75000000.00,,2025,38464,Consumer Discretionary,RETAIL: Building Materials
SOAR,Volato Group Inc. Class A Common Stock,$0.32,0.0007,0.219%,5197705.00,,2022,808553,Consumer Discretionary,Transportation Services
SRXH,SRX Health Solutions Inc. Common Stock,$0.1515,0.0052,3.554%,45178464.00,,2021,24608148,Consumer Staples,Beverages (Production/Distribution)
STRW,Strawberry Fields REIT Inc. Common Stock,$12.68,-0.14,-1.092%,166362805.00,,2023,17543,Real Estate,Real Estate Investment Trusts
STXS,Stereotaxis Inc. Common Stock,$1.89,-0.02,-1.047%,183800489.00,United States,,265597,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$10.84,-0.26,-2.342%,2387799526.00,Canada,,3424291,Basic Materials,Precious Metals
SYNX,Silynxcom Ltd. Ordinary Shares,$1.07,-0.06,-5.31%,5657071.00,,2024,177192,Consumer Staples,Consumer Electronics/Appliances
TGB,Taseko Mines Ltd. Common Stock,$6.69,-0.10,-1.473%,2438887334.00,Canada,,4101984,Basic Materials,Precious Metals
TGEN,Tecogen Inc. Common Stock,$2.84,0.09,3.273%,84764000.00,United States,2025,385364,Industrials,Industrial Machinery/Components
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$2.39,-0.14,-5.534%,623975160.00,Canada,,1237370,Basic Materials,Metal Mining
TII,Titan Mining Corporation Common Shares,$3.33,0.03,0.909%,304660937.00,,2025,270950,,
TMDE,TMD Energy Limited Ordinary Shares,$1.31,-0.52,-28.415%,30870150.00,,2025,1806399,Energy,Oil Refining/Marketing
TMP,Tompkins Financial Corporation Common Stock,$73.76,-0.67,-0.90%,1063473524.00,United States,1997,68723,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$3.82,-0.09,-2.302%,659124341.00,Canada,,1943208,Basic Materials,Precious Metals
TOON,Kartoon Studios Inc. Common Stock,$0.5449,0.0149,2.811%,29373214.00,United States,,99178,Consumer Discretionary,Movies/Entertainment
TOPP,Toppoint Holdings Inc. Common Stock,$0.715,-0.0245,-3.313%,13871000.00,,2025,31721,Industrials,Trucking Freight/Courier Services
TOPS,TOP Ships Inc. Common Stock,$3.52,0.26,7.975%,16284213.00,Greece,,157601,Consumer Discretionary,Marine Transportation
TOVX,Theriva Biologics Inc. Common Stock,$0.1859,-0.007,-3.629%,8531447.00,United States,,3591506,Health Care,Biotechnology: Pharmaceutical Preparations
TPET,Trio Petroleum Corp. Common Stock,$1.05,-0.11,-9.483%,30719682.00,,2023,14061925,Energy,Oil & Gas Production
TRT,Trio-Tech International Common Stock,$6.33,0.58,10.087%,55385069.00,United States,1998,194785,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$1.60,-0.01,-0.621%,461332125.00,Canada,,3164840,Basic Materials,Precious Metals
UAC,United Acquisition Corp. I Class A Ordinary Shares,$9.81,0.00,0.00%,0.00,,2026,8,Finance,Blank Checks
UAVS,AgEagle Aerial Systems Inc. Common Stock,$1.03,0.03,3.00%,41274766.00,United States,,1768823,Industrials,Aerospace
UEC,Uranium Energy Corp. Common Stock,$13.99,0.49,3.63%,6858188754.00,Canada,,7447664,Basic Materials,Other Metals and Minerals
UMAC,Unusual Machines Inc. Common Stock,$20.91,2.30,12.359%,813188039.00,United States,2024,4657956,Technology,Radio And Television Broadcasting And Communications Equipment
URG,Ur Energy Inc Common Shares (Canada),$1.45,0.01,0.694%,576125918.00,Canada,,6492392,Basic Materials,Precious Metals
